step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
200000,1.5624,7909440,8_14_320_160,8,14,320,160,False,True
220000,1.5531,7909440,8_14_320_160,8,14,320,160,False,True
240000,1.5434,7909440,8_14_320_160,8,14,320,160,False,True
260000,1.5368,7909440,8_14_320_160,8,14,320,160,False,True
280000,1.53,7909440,8_14_320_160,8,14,320,160,False,True
300000,1.5231,7909440,8_14_320_160,8,14,320,160,False,True
320000,1.5167,7909440,8_14_320_160,8,14,320,160,False,True
340000,1.5086,7909440,8_14_320_160,8,14,320,160,False,True
360000,1.5017,7909440,8_14_320_160,8,14,320,160,False,True
380000,1.4948,7909440,8_14_320_160,8,14,320,160,False,True
400000,1.4896,7909440,8_14_320_160,8,14,320,160,False,True
420000,1.4851,7909440,8_14_320_160,8,14,320,160,False,True
440000,1.4799,7909440,8_14_320_160,8,14,320,160,False,True
460000,1.4761,7909440,8_14_320_160,8,14,320,160,False,True
480000,1.4715,7909440,8_14_320_160,8,14,320,160,False,True
500000,1.4692,7909440,8_14_320_160,8,14,320,160,False,True
520000,1.4662,7909440,8_14_320_160,8,14,320,160,False,True
540000,1.4629,7909440,8_14_320_160,8,14,320,160,False,True
560000,1.4609,7909440,8_14_320_160,8,14,320,160,False,True
580000,1.4577,7909440,8_14_320_160,8,14,320,160,False,True
600000,1.4561,7909440,8_14_320_160,8,14,320,160,False,True
620000,1.4507,7909440,8_14_320_160,8,14,320,160,False,True
640000,1.4482,7909440,8_14_320_160,8,14,320,160,False,True
660000,1.4466,7909440,8_14_320_160,8,14,320,160,False,True
680000,1.4447,7909440,8_14_320_160,8,14,320,160,False,True
700000,1.442,7909440,8_14_320_160,8,14,320,160,False,True
720000,1.4404,7909440,8_14_320_160,8,14,320,160,False,True
740000,1.4395,7909440,8_14_320_160,8,14,320,160,False,True
760000,1.4378,7909440,8_14_320_160,8,14,320,160,False,True
780000,1.4357,7909440,8_14_320_160,8,14,320,160,False,True
800000,1.4341,7909440,8_14_320_160,8,14,320,160,False,True
820000,1.4332,7909440,8_14_320_160,8,14,320,160,False,True
840000,1.4318,7909440,8_14_320_160,8,14,320,160,False,True
860000,1.4306,7909440,8_14_320_160,8,14,320,160,False,True
880000,1.4286,7909440,8_14_320_160,8,14,320,160,False,True
900000,1.4276,7909440,8_14_320_160,8,14,320,160,False,True
920000,1.4269,7909440,8_14_320_160,8,14,320,160,False,True
940000,1.4243,7909440,8_14_320_160,8,14,320,160,False,True
960000,1.4231,7909440,8_14_320_160,8,14,320,160,False,True
980000,1.4231,7909440,8_14_320_160,8,14,320,160,False,True
1000000,1.4213,7909440,8_14_320_160,8,14,320,160,False,True
1020000,1.4203,7909440,8_14_320_160,8,14,320,160,False,True
1040000,1.4195,7909440,8_14_320_160,8,14,320,160,False,True
1060000,1.4172,7909440,8_14_320_160,8,14,320,160,False,True
1080000,1.4167,7909440,8_14_320_160,8,14,320,160,False,True
1100000,1.4128,7909440,8_14_320_160,8,14,320,160,False,True
1120000,1.4123,7909440,8_14_320_160,8,14,320,160,False,True
1140000,1.4113,7909440,8_14_320_160,8,14,320,160,False,True
1160000,1.4117,7909440,8_14_320_160,8,14,320,160,False,True
1180000,1.4101,7909440,8_14_320_160,8,14,320,160,False,True
1200000,1.4104,7909440,8_14_320_160,8,14,320,160,False,True
1220000,1.4077,7909440,8_14_320_160,8,14,320,160,False,True
1240000,1.4072,7909440,8_14_320_160,8,14,320,160,False,True
1260000,1.4053,7909440,8_14_320_160,8,14,320,160,False,True
1280000,1.4051,7909440,8_14_320_160,8,14,320,160,False,True
1300000,1.406,7909440,8_14_320_160,8,14,320,160,False,True
1320000,1.4034,7909440,8_14_320_160,8,14,320,160,False,True
1340000,1.4048,7909440,8_14_320_160,8,14,320,160,False,True
1360000,1.4031,7909440,8_14_320_160,8,14,320,160,False,True
1380000,1.4029,7909440,8_14_320_160,8,14,320,160,False,True
1400000,1.4024,7909440,8_14_320_160,8,14,320,160,False,True
1420000,1.4008,7909440,8_14_320_160,8,14,320,160,False,True
1440000,1.4004,7909440,8_14_320_160,8,14,320,160,False,True
1460000,1.3998,7909440,8_14_320_160,8,14,320,160,False,True
1480000,1.3998,7909440,8_14_320_160,8,14,320,160,False,True
1500000,1.3996,7909440,8_14_320_160,8,14,320,160,False,True
1520000,1.3972,7909440,8_14_320_160,8,14,320,160,False,True
1540000,1.3973,7909440,8_14_320_160,8,14,320,160,False,True
1560000,1.3974,7909440,8_14_320_160,8,14,320,160,False,True
1580000,1.3966,7909440,8_14_320_160,8,14,320,160,False,True
1600000,1.3958,7909440,8_14_320_160,8,14,320,160,False,True
1620000,1.3957,7909440,8_14_320_160,8,14,320,160,False,True
20000,2.0007,8718864,6_14_336_168,6,14,336,168,True,True
