step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
1600000,1.4344,4605184,8_10_256_256,8,10,256,256,False,True
1620000,1.4345,4605184,8_10_256_256,8,10,256,256,False,True
1640000,1.4336,4605184,8_10_256_256,8,10,256,256,False,True
1660000,1.4342,4605184,8_10_256_256,8,10,256,256,False,True
1680000,1.4329,4605184,8_10_256_256,8,10,256,256,False,True
1700000,1.4332,4605184,8_10_256_256,8,10,256,256,False,True
1720000,1.4318,4605184,8_10_256_256,8,10,256,256,False,True
1740000,1.4328,4605184,8_10_256_256,8,10,256,256,False,True
1760000,1.431,4605184,8_10_256_256,8,10,256,256,False,True
1780000,1.4303,4605184,8_10_256_256,8,10,256,256,False,True
1800000,1.4305,4605184,8_10_256_256,8,10,256,256,False,True
1820000,1.4288,4605184,8_10_256_256,8,10,256,256,False,True
1840000,1.4265,4605184,8_10_256_256,8,10,256,256,False,True
1860000,1.427,4605184,8_10_256_256,8,10,256,256,False,True
1880000,1.4262,4605184,8_10_256_256,8,10,256,256,False,True
1900000,1.4268,4605184,8_10_256_256,8,10,256,256,False,True
1920000,1.4266,4605184,8_10_256_256,8,10,256,256,False,True
1940000,1.4261,4605184,8_10_256_256,8,10,256,256,False,True
1960000,1.4254,4605184,8_10_256_256,8,10,256,256,False,True
1980000,1.4265,4605184,8_10_256_256,8,10,256,256,False,True
2000000,1.4242,4605184,8_10_256_256,8,10,256,256,False,True
2020000,1.4233,4605184,8_10_256_256,8,10,256,256,False,True
2040000,1.4228,4605184,8_10_256_256,8,10,256,256,False,True
2060000,1.4243,4605184,8_10_256_256,8,10,256,256,False,True
2080000,1.4233,4605184,8_10_256_256,8,10,256,256,False,True
2100000,1.4237,4605184,8_10_256_256,8,10,256,256,False,True
2120000,1.4225,4605184,8_10_256_256,8,10,256,256,False,True
2140000,1.4233,4605184,8_10_256_256,8,10,256,256,False,True
2160000,1.4228,4605184,8_10_256_256,8,10,256,256,False,True
2180000,1.4213,4605184,8_10_256_256,8,10,256,256,False,True
2200000,1.422,4605184,8_10_256_256,8,10,256,256,False,True
2220000,1.4204,4605184,8_10_256_256,8,10,256,256,False,True
2240000,1.42,4605184,8_10_256_256,8,10,256,256,False,True
2260000,1.4202,4605184,8_10_256_256,8,10,256,256,False,True
2280000,1.4196,4605184,8_10_256_256,8,10,256,256,False,True
2300000,1.4197,4605184,8_10_256_256,8,10,256,256,False,True
2320000,1.4193,4605184,8_10_256_256,8,10,256,256,False,True
2340000,1.4192,4605184,8_10_256_256,8,10,256,256,False,True
2360000,1.4201,4605184,8_10_256_256,8,10,256,256,False,True
2380000,1.4187,4605184,8_10_256_256,8,10,256,256,False,True
2400000,1.4194,4605184,8_10_256_256,8,10,256,256,False,True
2420000,1.4179,4605184,8_10_256_256,8,10,256,256,False,True
2440000,1.416,4605184,8_10_256_256,8,10,256,256,False,True
